gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
-158,-12644,-32,-12120,420,10012,0,0,0,5467,-13060,66,-11712,420,10984,0,0,0,0,0,0,0,0,0,0,0,0
-162,-12585,-23,-10716,460,11472,0,0,0,5450,-12943,44,-10224,424,12352,0,0,0,0,0,0,0,0,0,0,0,0
67,-7940,-322,-9640,624,12388,0,0,0,5680,-8219,-192,-8996,344,13312,0,0,0,0,0,0,0,0,0,0,0,0
-97,-5864,-170,-8760,532,13108,0,0,0,5551,-6147,27,-8112,404,13988,0,0,0,0,0,0,0,0,0,0,0,0
-77,-5630,-105,-8048,508,13484,0,0,0,5554,-5950,66,-7548,396,14172,0,0,0,0,0,0,0,0,0,0,0,0
-98,-3223,-179,-7512,604,13960,0,0,0,5594,-3541,38,-7028,492,14652,0,0,0,0,0,0,0,0,0,0,0,0
-150,-9219,-35,-6916,600,14192,0,0,0,5471,-9680,116,-6220,492,14876,0,0,0,0,0,0,0,0,0,0,0,0
-143,-7303,-89,-5536,548,14900,0,0,0,5496,-7502,85,-4848,332,15596,0,0,0,0,0,0,0,0,0,0,0,0
-129,-4219,-155,-4964,624,15216,0,0,0,5537,-4460,25,-4240,404,15684,0,0,0,0,0,0,0,0,0,0,0,0
-115,-3388,-172,-4676,540,15128,0,0,0,5554,-3739,76,-3988,428,15664,0,0,0,0,0,0,0,0,0,0,0,0
-119,-5903,-99,-4020,660,15380,0,0,0,5534,-6268,74,-3296,448,15828,0,0,0,0,0,0,0,0,0,0,0,0
-134,-5936,-91,-3092,588,15860,0,0,0,5520,-6250,81,-2376,416,16140,0,0,0,0,0,0,0,0,0,0,0,0
-129,-3486,-166,-2392,692,15944,0,0,0,5567,-3741,41,-1640,364,16316,0,0,0,0,0,0,0,0,0,0,0,0
-130,-4771,-137,-2072,624,15884,0,0,0,5516,-5215,56,-1312,428,16296,0,0,0,0,0,0,0,0,0,0,0,0
-126,-4584,-140,-1152,588,16020,0,0,0,5573,-4871,48,-368,284,16380,0,0,0,0,0,0,0,0,0,0,0,0
-192,-2279,-172,-128,568,16372,0,0,0,5488,-2252,85,588,368,16484,0,0,0,0,0,0,0,0,0,0,0,0
-130,-507,-221,-512,680,16068,0,0,0,5560,-749,45,132,392,16404,0,0,0,0,0,0,0,0,0,0,0,0
-188,-1161,-206,-532,608,16020,0,0,0,5518,-1394,47,120,360,16460,0,0,0,0,0,0,0,0,0,0,0,0
-150,-574,-218,-396,532,15996,0,0,0,5559,-742,54,352,268,16168,0,0,0,0,0,0,0,0,0,0,0,0
-227,-1276,-107,-264,628,16200,0,0,0,5510,-1572,181,576,540,16540,0,0,0,0,0,0,0,0,0,0,0,0
-111,-362,-216,-596,520,17612,0,0,0,5542,-582,65,496,272,15752,0,0,0,0,0,0,0,0,0,0,0,0
-197,-748,105,340,592,16152,0,0,0,5541,-1104,389,932,356,16788,0,0,0,0,0,0,0,0,0,0,0,0
-160,-292,-233,96,648,15972,0,0,0,5563,-557,59,956,312,16292,0,0,0,0,0,0,0,0,0,0,0,0
-134,-42,-244,-44,668,16116,0,0,0,5591,-291,49,828,328,16388,0,0,0,0,0,0,0,0,0,0,0,0
-111,29,-598,-284,636,16064,0,0,0,5588,-255,-338,428,244,16384,0,0,0,0,0,0,0,0,0,0,0,0
-106,0,-592,180,576,16004,0,0,0,5601,-277,-283,956,336,16392,0,0,0,0,0,0,0,0,0,0,0,0
-129,-12,-210,72,704,16156,0,0,0,5589,-263,40,912,316,16372,0,0,0,0,0,0,0,0,0,0,0,0
-147,-2,-227,120,544,15988,0,0,0,5617,-278,49,772,340,16344,0,0,0,0,0,0,0,0,0,0,0,0
-141,-2,-238,92,532,15984,0,0,0,5632,-271,53,700,348,16512,0,0,0,0,0,0,0,0,0,0,0,0
-121,-3,-234,100,532,16120,0,0,0,5623,-265,65,784,400,16304,0,0,0,0,0,0,0,0,0,0,0,0
-123,7,-225,92,560,16100,0,0,0,5600,-288,43,808,164,16452,0,0,0,0,0,0,0,0,0,0,0,0
-136,5,-224,64,580,16096,0,0,0,5589,-246,40,756,280,16580,0,0,0,0,0,0,0,0,0,0,0,0
-131,4,-219,128,456,16236,0,0,0,5599,-253,58,844,340,16408,0,0,0,0,0,0,0,0,0,0,0,0
-111,-10,-228,124,588,16072,0,0,0,5596,-251,39,792,256,16324,0,0,0,0,0,0,0,0,0,0,0,0
-142,15,-253,124,576,15964,0,0,0,5616,-251,53,832,296,16360,0,0,0,0,0,0,0,0,0,0,0,0
-109,11,-234,120,596,15852,0,0,0,5619,-262,54,732,176,16488,0,0,0,0,0,0,0,0,0,0,0,0
-126,3,-238,120,512,16120,0,0,0,5592,-242,55,792,216,16424,0,0,0,0,0,0,0,0,0,0,0,0
-118,-3,-219,4,552,16064,0,0,0,5605,-256,53,768,244,16400,0,0,0,0,0,0,0,0,0,0,0,0
-116,37,-212,12,596,16268,0,0,0,5587,-238,43,724,276,16620,0,0,0,0,0,0,0,0,0,0,0,0
